Trial ID,Listener at,Speaker at,Trial type,Instruction,Spatial expression,Object positions ,Folder positions,Νο. Obj,Structure alignment,Correct response,Egocentric (Listener-based) response,Other-centric (Speaker-based) response,NOTES,
1,0,90,ambiguous,Give me the folder on the… right,right,"2, 4, 8","4, 8",3,Partner,None,8,4,,
2,0,90,ambiguous,Give me the folder on the… right,right,"2, 4, 6","2, 6",3,Ego,None,6,2,,
3,0,270,ambiguous,Give me the folder on the… right,right,"2, 6, 8","6, 8",3,Partner,None,6,8,,
4,0,270,ambiguous,Give me the folder on the… right,right,"2, 4, 6","2, 4",3,Ego,None,2,4,,
5,0,90,ambiguous,Give me the folder on the… right,right,"1, 7, 9","1, 9",3,Neither,None,9,1,3rd object can also be at 3 vs. 7,
6,0,270,control,Give me the folder on the… right,right,"2, 4, 8","4, 8",3,Partner-reversed,8,8,8,Include?,
7,0,90,control,Give me the folder on the… right,right,"4, 6, 8","6, 8",3,Ego-reversed,6,6,6,Include?,
8,0,270,control,Give me the folder on the… right,right,"1, 3, 9","1, 9",3,Neither,9,9,9,3rd object can also be at 7 vs. 3,
9,0,90,ambiguous,Give me the folder on the… left,left,"2, 4, 8","4, 8",3,Partner,None,4,8,,
10,0,90,ambiguous,Give me the folder on the… left,left,"2, 4, 6","2, 6",3,Ego,None,2,6,,
11,0,270,ambiguous,Give me the folder on the… left,left,"2, 6, 8","6, 8",3,Partner,None,8,6,,
12,0,270,ambiguous,Give me the folder on the… left,left,"2, 4, 6","2, 4",3,Ego,None,4,2,,
13,0,270,ambiguous,Give me the folder on the… left,left,"3, 7, 9","3, 7",3,Neither,None,7,3,3rd object can also be at 1 vs. 9,
14,0,90,control,Give me the folder on the… left,left,"2, 6, 8","6, 8",3,Partner-reversed,8,8,8,Include?,
15,0,270,control,Give me the folder on the… left,left,"4, 6, 8","4, 8",3,Ego-reversed,4,4,4,Include?,
16,0,90,control,Give me the folder on the… left,left,"1, 3, 7","3, 7",3,Neither,7,7,7,3rd object can also be at 9 vs. 1,
17,0,90,ambiguous,Give me the folder on the… top,top,"2, 4, 8","2, 4",3,Partner,None,2,4,,
18,0,90,ambiguous,Give me the folder on the… top,top,"2, 4, 6","2, 4",3,Ego,None,2,4,,
19,0,270,ambiguous,Give me the folder on the… top,top,"2, 6, 8","2, 6",3,Partner,None,2,6,,
20,0,270,ambiguous,Give me the folder on the… top,top,"2, 4, 6","2, 6",3,Ego,None,2,6,,
21,0,270,ambiguous,Give me the folder on the… top,top,"1, 3, 9","1, 9",3,Neither,None,1,9,3rd object can also be at 7 vs. 3,
22,0,90,control,Give me the folder on the… top,top,"2, 4, 8","4, 8",3,Partner,4,4,4,,
23,0,270,control,Give me the folder on the… top,top,"2, 4, 6","2, 4",3,Ego,2,2,2,,
24,0,90,control,Give me the folder on the… top,top,"1, 3, 9","1, 9",3,Neither,1,1,1,3rd object can also be at 7 vs. 3,
25,0,90,ambiguous,Give me the folder on the… bottom,bottom ,"2, 4, 8","2, 4",3,Partner,None,4,2,,
26,0,90,ambiguous,Give me the folder on the… bottom,bottom ,"2, 4, 6","2, 4",3,Ego,None,4,2,,
27,0,270,ambiguous,Give me the folder on the… bottom,bottom ,"2, 6, 8","2, 6",3,Partner,None,6,2,,
28,0,270,ambiguous,Give me the folder on the… bottom,bottom ,"2, 4, 6","2, 6",3,Ego,None,6,2,,
29,0,90,ambiguous,Give me the folder on the… bottom,bottom ,"1, 3, 7","3, 7",3,Neither,None,7,3,3rd object can also be at 9 vs. 1,
30,0,270,control,Give me the folder on the… bottom,bottom ,"2, 6, 8","6, 8",3,Partner,8,8,8,,
31,0,90,control,Give me the folder on the… bottom,bottom ,"2, 4, 6","2, 6",3,Ego,6,6,6,,
32,0,270,control,Give me the folder on the… bottom,bottom ,"1, 3, 7","3, 7",3,Neither,7,7,7,3rd object can also be at 9 vs. 1,
33,0,0,control,Give me the folder on the… right,right,"2, 4, 6","2, 6",3,Both,6,6,6,,
34,0,0,control,Give me the folder on the… right,right,"2, 4, 6","2, 4",3,Both,2,2,2,Can select this or previous trial,
35,0,0,control,Give me the folder on the… left,left,"2, 4, 6","2, 6",3,Both,2,2,2,,
36,0,0,control,Give me the folder on the… left,left,"2, 4, 6","2, 4",3,Both,4,4,4,Can select this or previous trial,
37,0,0,control,Give me the folder on the… top,top,"2, 4, 6","2, 6",3,Both,2,2,2,,
38,0,0,control,Give me the folder on the… top,top,"2, 4, 6","2, 4",3,Both,2,2,2,Can select this or previous trial,
39,0,0,control,Give me the folder on the… bottom,bottom ,"2, 4, 6","2, 6",3,Both,6,6,6,,
40,0,0,control,Give me the folder on the… bottom,bottom ,"2, 4, 6","2, 4",3,Both,4,4,4,Can select this or previous trial,
41,0,180,ambiguous,Give me the folder on the… right,right,"3, 7, 9","3, 7",3,Neither,None,3,7,3rd object can also be at 1 vs. 9,
42,0,180,ambiguous,Give me the folder on the… right,right,"1, 3, 9","1, 9",3,Neither,None,9,1,3rd object can also be at 7 vs. 3,
43,0,180,ambiguous,Give me the folder on the… left,left,"3, 7, 9","3, 7",3,Neither,None,7,3,3rd object can also be at 1 vs. 9,
44,0,180,ambiguous,Give me the folder on the… left,left,"1, 3, 9","1, 9",3,Neither,None,1,9,3rd object can also be at 7 vs. 3,
45,0,180,ambiguous,Give me the folder on the… top,top,"3, 7, 9","3, 7",3,Neither,None,3,7,3rd object can also be at 1 vs. 9,
46,0,180,ambiguous,Give me the folder on the… top,top,"2, 4, 8","2, 8",3,Neither,None,2,8,3rd object can also be at 4 vs. 6,
47,0,180,ambiguous,Give me the folder on the… bottom,bottom ,"3, 7, 9","3, 7",3,Neither,None,7,3,3rd object can also be at 1 vs. 9,
48,0,180,ambiguous,Give me the folder on the… bottom,bottom ,"1, 3, 9","1, 9",3,Neither,None,9,1,3rd object can also be at 7 vs. 3,